Time,Velocity_X_RMS,Velocity_Y_RMS,Velocity_Z_RMS,Temperature
1719418103,0.05,0.04,0.04,-127.00
1719418104,0.05,0.04,0.03,-127.00
1719418106,0.07,0.17,0.08,-127.00
1719418108,0.05,0.03,0.04,-127.00
1719418109,0.06,0.04,0.04,-127.00
1719418111,0.06,0.04,0.04,-127.00
1719418113,0.06,0.04,0.04,-127.00
1719418114,0.06,0.04,0.03,-127.00
1719418116,0.05,0.04,0.04,-127.00
1719418117,0.05,0.03,0.04,-127.00
1719418119,0.06,0.04,0.04,-127.00
1719418121,0.05,0.04,0.04,-127.00
1719418122,0.05,0.04,0.03,-127.00
1719418124,0.05,0.04,0.04,-127.00
1719418125,0.05,0.04,0.03,-127.00
1719418127,0.05,0.04,0.03,-127.00
1719418128,0.05,0.04,0.04,-127.00
1719418130,0.04,0.04,0.04,-127.00
1719418132,0.05,0.04,0.04,-127.00
1719418134,0.06,0.05,0.06,-127.00
1719418136,0.05,0.04,0.04,-127.00
1719418138,0.05,0.04,0.04,-127.00
1719418139,0.05,0.04,0.04,-127.00
1719418141,0.05,0.03,0.05,-127.00
1719418143,0.05,0.05,0.04,-127.00
1719418145,0.06,0.04,0.03,-127.00
1719418147,0.05,0.04,0.04,-127.00
1719418149,0.05,0.04,0.04,-127.00
1719418150,0.05,0.04,0.04,-127.00
1719418152,0.05,0.03,0.04,-127.00
1719418153,0.05,0.04,0.04,-127.00
1719418155,0.05,0.04,0.04,-127.00
1719418156,0.05,0.04,0.04,-127.00
1719418158,0.05,0.04,0.04,-127.00
1719418159,0.05,0.04,0.04,-127.00
1719418161,0.06,0.04,0.04,-127.00
